"Orders","Bestellungen"
"The key that you defined in the PMI to encrypt the queries sent to the PAYONE Platform.","Tragen Sie hier den von Ihnen definierten PMI-Sicherheitsschlüssel ein, um eine gesicherte Kommunikation zu gewährleisten."
"Payment from allowed countries","Zahlung aus erlaubten Ländern"
"Define the countries to which this settings should apply. This setting follows the Magento country standard.","Definieren Sie die Länder, in denen diese Einstellungen gelten. Die Einstellung folgt dem Magento Länderauswahlstandard."
"Authorization method","Autorisierungsmethode"
"Chose here which method to apply for your payments","Hier können Sie einstellen welches Verfahren Sie für Ihre Transaktion verwenden wollen."
"Note: For the online transfer methods giropay, SOFORT Banking, eps, PostFinance and iDEAL the payment is carried out fully and completely even if you have selected ""Pre-authorisation"". Despite this, you would still have to post the receivable via a separate capture, in this case.","Note: For the online transfer methods giropay, SOFORT Banking, eps, PostFinance and iDEAL the payment is carried out fully and completely even if you have selected “Pre-authorisation“. Despite this, you would still have to post the receivable via a separate capture, in this case."
"Options:","Optionen:"
"Pre-authorization","Vorautorisierung"
"When selecting "Pre-authorisation" the amount to be paid is reserved during the ordering process. In this case, the actual capture of the amount must be initiated in a second step upon delivery of the goods. The receivable will only be posted after the amount has been captured.","Dieses Verfahren versucht zunächst eine Reservierung des Betrages auf dem ausgewählten Zahlungsmittel. Zu einen späteren Zeitpunkt wird per Capture das Geld vom Zahlungsmittel abgebucht. Dieses Verfahren ist zu empfehlen, wenn Sie Versender von materiellen Gütern sind. Erst zum Zeitpunkt des Warenversandes wird dann der Geldeinzug vorgenommen."
"Authorization","Autorisierung"
"When selecting "Authorisation" the amount to be paid is debited directly in the course of the ordering process. The receivable is posted immediately.","Dieses Verfahren zieht das Geld sofort vom ausgewählten Zahlungsmittel ein. Diese Methode empfiehlt sich für alle imateriellen Güter oder Content."


"TEMPLATE","/app/design/adminhtml/default/default/template/payone/core/system/config/tooltip/general/narrative_text.phtml"
"Here your can define what texts should appear on your customers' account or credit card statements.","Hier können Sie eintragen welche Daten auf den Kontoabrechnungen des Käufers aus dem Shop erscheinen."
"Credit Card","Kreditkarte"
"You can define here which text should appear on your customers' credit card statement. Please check with your acquirer and PAYONE how many characters you can use here. The variable <i>{{order_increment_id}}</i> can be used as a placeholder.","Hier können Sie eintragen welcher Text auf der Kreditkartenabrechnung des Käufers erscheint. Bitte prüfen Sie mit Ihrem Acquirer und PAYONE wieviele Zeichen an dieser Stelle für Sie zugelassen sind. Als Platzhalter können Sie die Variable <i>{{order_increment_id}}</i> verwenden."
"Direct Debit","Lastschrift"
"You can define here which text should appear on your customers' account statements. The maximum amount of characters is 3 lines with 27 characters each.","Hier können Sie eintragen welcher Text auf den Kontoauszügen des Käufers erscheint. Die zugelassene maximale Anzahl an Zeichen sind je 27 Zeichen in 3 Zeilen."
"The variable <i>{{order_increment_id}}</i> can be used as a placeholder.","Als Platzhalter können Sie die Variable <i>{{order_increment_id}}</i> verwenden."


"TEMPLATE","/app/design/adminhtml/default/default/template/payone/core/system/config/tooltip/general/parameter_invoice.phtml"
"Here you can configure the options for submission of article information. This data is transmitted to PAYONE with authorization, pre-authorization, and capture requests. With this data, the PAYONE Platform can create invoices.","Hier können Sie die Optionen für den Versand von Artikelinformationen konfigurieren. Diese Informationen werden bei den Abfragen Autorisation, Vorautorisation und Capture an PAYONE übermittelt. Anhand dieser Informationen können dann auf der PAYONE Plattform Rechnungen erzeugt werden."
"To use this option, you need to purchase the Invoicing module at PAYONE.","Um diese Optionen nutzen zu können ist eine Beauftragung des Moduls Invoicing bei PAYONE notwendig.",
"Activate PDF download","PDF Download aktivieren"
"You can activate or deactivate the download of the invoice from PAYONE. You will have an additional button to download the PDF.","Hier können Sie den Download der Rechnung von PAYONE aktivieren / deaktivieren. Sie erhalten dann an der Rechnung einen zusätzlichen Button zum Download des PDF."
"Options:","Optionen:"
"Yes","Ja"
"No","Nein"
"Submit invoice information","Rechnungsinformationen übertragen"
"You can activate or deactivate the submission of invoice information","Hier können Sie die Übertragung der Rechnungsinformationen aktivieren / deaktivieren."
"Dynamic text on invoice","Dynamischer Text auf der Rechnung"
"This text can be transmitted additionally to PAYONE and will appear on the invoice document according to your specification. This text has a maximal length of 255 characters. Any characters exceeding this limit will be cropped. To integrate information from Magento, the following variables are available","Dieser Text kann zusätzlich an PAYONE übergeben werden und erscheint im Anschluss gem. Ihrer Spezifikationen auf dem Rechnungsdokument. Der Text hat eine Maximale Länge von 255 Zeichen. Alle Zeichen über diese Länge hinaus werden abgeschnitten. Um Informationen aus Magento zu übergeben stehen einige Variablen zur Verfügung die Sie in den Text einfließen lassen können.",
"Please use variables in the following way:","Die Namen der Variablen müssen wie folgt notiert werden."
"For example:","Beispiel:"
"Your invoice for order No. {{order_increment_id}}","Ihre Rechnung zur Bestellung {{order_increment_id}}"
"You can use these variables:","Folgende Variablen stehen zur Verfügung:"
"<b>{{order_increment_id}}</b> will be replaced by the order ID","<b>{{order_increment_id}}</b> wird ersetzt durch die Bestellnummer"
"<b>{{order_id}}</b> will be replaced by the database ID of the order","<b>{{order_id}}</b> wird ersetzt durch die Datenbank-ID der Bestellung"
"<b>{{customer_increment_id}}</b> will be replaced by the customer ID","<b>{{customer_increment_id}}</b> wird ersetzt durch die Kundennummer"
"<b>{{customer_id}}</b> will be replaced by the database ID of the customer","<b>{{customer_id}}</b> wird ersetzt durch die Datenbank-ID des Kunden"
"<b>{{invoice_increment_id}}</b> will be replaced by the invoice number","<b>{{invoice_increment_id}}</b> wird ersetzt durch die Rechnungsnummer"
"Dynamic text on refund document","Dynamischer Text auf der Gutschrift"
"This text can be transmitted additionally to PAYONE and will appear on the refund document according to your specification. This text has a maximal length of 255 characters. Any characters exceeding this limit will be cropped. To integrate information from Magento, the following variables are available","Dieser Text kann zusätzlich an PAYONE übergeben werden und erscheint im Anschluss gem. Ihrer Spezifikationen auf dem Gutschriftsdokument. Der Text hat eine Maximale Länge von 255 Zeichen. Alle Zeichen über diese Länge hinaus werden abgeschnitten. Um Informationen aus Magento zu übergeben stehen einige Variablen zur Verfügung die Sie in den Text einfließen lassen können.",
"Please use variables in the following way:","Die Namen der Variablen müssen wie folgt notiert werden."
"For example:","Beispiel:"
"Your refund for invoice No. {{invoice_increment_id}}","Ihre Gutschrift zur Rechnung {{invoice_increment_id}}"
"<b>{{creditmemo_increment_id}}</b> will be replaced by the refund document number","<b>{{creditmemo_increment_id}}</b> wird ersetzt durch die Nummer der Gutschrift"


"TEMPLATE","/app/design/adminhtml/default/default/template/payone/core/system/config/tooltip/general/payment_creditcard.phtml"
"Using these options you can configure, how long credit cards must be valid to be eligible for use in your shop.","Mittels dieser Option können Sie einstellen bis zu welcher Gültigkeitsdauer in Tagen Sie ein Zahlung per Kreditkarte zulassen wollen.",
"Minimum validity period","Mindest-Gültigkeitszeitraum"
"Enter the amount of days a credit card needs to be valid to be eligible for use in your shop.","Tragen Sie hier den Wert in Tagen ein bis zu dem Sie eine Kreditkartenzahlung zulassen wollen."


"TEMPLATE","/app/design/adminhtml/default/default/template/payone/core/system/config/tooltip/general/status_mapping.phtml"
"The status of a transaction is transmitted to the Magento Shop through a TransactionStatus message.","Der Status der Zahlung wird von der PAYONE Plattform mittels der Transaktionsstatusmeldung an den Magento-Onlineshop versendet."
"This status message can vary, depending on the payment method and the actual state of the transaction. Here you can map PAYONE transaction status to status of Magento orders. The setting can be configured individually per payment method.","Dieser Status kann viele verschiedene Zustände annehmen die äbhängig von der Zahlart sein können. An dieser Stelle können Sie bestimmen welcher Zustand mit welchem Status in Magento verknüpft werden soll. Dies können Sie für alle Zahlarten vornehmen.",
"Please make sure that Magento's cron jobs are configured correctly and working on your system.","Stellen Sie weiterhin sicher, dass die Cronjobs für ihr System korrekt eingerichtet sind.",
"TransactionStatus message","Transaktionsstatus-Meldung"
"Appointed","Erfolg"
"Capture","Einzug"
"Paid","Zahlung"
"Underpaid","Unterzahlung"
"Cancelation","Rückbelastung"
"Refund","Rückerstattung"
"Debit","Forderung"
"Reminder","Mahnstatus"
"Vauthorization","Buchung"
"Vsettlement","Abrechnung"
"Transfer","Umbuchung"
"Invoice","Rechnungsbeleg"
"Magento Status","Magento-Status"
"Open","Ausstehend"
"In Progress","Verarbeitung"
"Complete","Vollständig"
"Closed","Geschlossen"
"Cancelation","Storniert"
"Delivered","Zurückgestellt"


"TEMPLATE","/app/design/adminhtml/default/default/template/payone/core/system/config/tooltip/misc/creditmemo.phtml"
"TEMPLATE","/app/design/adminhtml/default/default/template/payone/core/system/config/tooltip/misc/discount.phtml"
"TEMPLATE","/app/design/adminhtml/default/default/template/payone/core/system/config/tooltip/misc/shipping_costs.phtml"
"In order to use this option you have to purchase the Invoicing Module at PAYONE.","Um diese Optionen nutzen zu können ist eine Beauftragung des Moduls Invoicing bei PAYONE notwendig."
"The setting ""Transmit Invoice Information"" in the configuration of ""%s"" must be set to ""Yes"".","Die Einstellung ""Rechnungsinformationen versenden"" im Bereich ""%s"" muss auf ""Ja"" gestellt sein."

"TEMPLATE","/app/design/adminhtml/default/default/template/payone/core/system/config/tooltip/misc/creditmemo.phtml"
"Creditmemo","Gutschrift"
"Here you can define which article number and description the correctional invoice items for refund and debit have when being transmitted to the PAYONE Platform.","Hier können Sie einstellen welche Artikelnummer und welchen Namen die Berichtigungserstattung bzw. der Berichtigungszuschlag bei der Übertragung von Rechnungsinformationen bekommen."

"TEMPLATE","/app/design/adminhtml/default/default/template/payone/core/system/config/tooltip/misc/discount.phtml"
"Discount","Rabatt"
"Here you can define which article number and description the correctional invoice items for discounts have when being transmitted to the PAYONE Platform.","Hier können Sie einstellen mit welcher Artikelnummer und Beschreibung Rabatte bei der Übertragung von Rechnungsinformationen übermittelt werden."

"TEMPLATE","/app/design/adminhtml/default/default/template/payone/core/system/config/tooltip/misc/shipping_costs.phtml"
"Shipping costs","Versandkosten"
"Here you can define which article number shipping costs have on the invoice when being transmitted to the PAYONE Platform.","Hier können Sie einstellen welche Artikelnummer die Versandkosten bei der Übertragung von Rechnungsinformationen bekommen."


"TEMPLATE","/app/design/adminhtml/default/default/template/payone/core/system/config/tooltip/misc/email_avs.phtml"
"Here you can configure E-Mail notifications for the use with AVS (Address Verification System). This feature is provided by American Express and checks, whether the numeric parts of a given address match the data in American Express' database. Depending on the result different values will be returned.","Konfigurieren Sie hier den E-Mailversand bei Nutzung von AVS (Address Verfication System). Diese Funktion wird von American Express bereitgestellt und überprüft die numerischen Bestandteile einer angegeben Adresse mit den gespeicherten Daten auf Seiten von American Express. Je nach Ergebnis werden unterschiedliche Werte nach einer Anfrage zurückgesendet.",
"This feature is only usable with credit card payment via American Express and has to be purchased individually from PAYONE.","Diese Funktion ist nur nutzbar bei Zahlung mit der Kreditkarte von American Express und muss gesondert bei PAYONE beauftragt werden."
"Activated","Aktiviert"
"Here you can activate AVS e-mail notifications","Hier aktivieren Sie den AVS-Emailversand."
"Yes","Ja"
"No","Nein"
"Send e-mail for the following AVS return values","Sende Email für AVS-Werte"
"House number is valid, zip code is not valid","Hausnummer ist ok, Postleitzahl ist nicht ok"
"House number and zip code are valid","Hausnummer und Postleitzahl sind ok"
"Neither house number nor zip code are valid","Weder Hausnummer noch Postleitzahl sind ok"
"Request not supported","Anfrage wird nicht unterstützt"
"House number is not valid, zip code is valid","Hausnummer ist nicht ok, aber Postleitzahl ist ok"
"Sender","Absender"
"Here you can select the sender of the mail as defined in the general Magento e-mail settings.","Hier können Sie den Absender der Mail auswählen den Sie in den Magento Einstellungen definiert haben."
"Recipient","Empfänger"
"Here you can select the recipient of the mail as defined in the general Magento e-mail settings.","Hier können Sie den Empfänger der Mail auswählen den Sie in den Magento Einstellungen definiert haben."
"Cc","Kopie an"
"Here you can define additional recipients in a comma separated list.","Hier können Sie als Freitext kommasepariert weitere Empfänger angeben."
"Template","Vorlage"
"Choose the template to use for the AVS notification e-mail.","Hier wählen Sie die Vorlage aus die beim Versand der AVS-Email verwendet werden soll."


"TEMPLATE","/app/design/adminhtml/default/default/template/payone/core/system/config/tooltip/misc/email_error.phtml"
"Configure e-mail notifications for technical difficulties.","Konfigurieren Sie hier den E-Mailversand bei technischen Fehlern."
"Here you can activate e-mail notifications for technical difficulties","Hier aktivieren Sie den Fehleremailversand."


"TEMPLATE","/app/design/adminhtml/default/default/template/payone/core/system/config/tooltip/misc/transaction_status_forwarding.phtml"
"Firstly, choose the transaction status messages you wish to be forwarded.","Wählen Sie zunächst die Transaktionstatus-Meldungen aus welche weitergeleitet werden sollen.",
"Then, choose the URL they should be forwarded to.","Danach geben Sie die URL an, an welche die Status-Meldungen gesendet werden sollen."
"The status messages will be forwarded exactly as Magento receives them from PAYONE.","Die Meldungen werden so weitergegeben wie diese von PAYONE an Magento gemeldet wurden."
"You can specify an individual time out, should this be necessary (default timeout: %ds )","Bei Bedarf können Sie im Feld Timeout selbigen erhöhen (Standard: %ds )",
"Please make sure that cron jobs are configured and working correctly in order to use this feature.","Stellen Sie weiterhin sicher, dass die Cronjobs für ihr System korrekt eingerichtet sind.",


"TEMPLATE","/app/design/adminhtml/default/default/template/payone/core/system/config/tooltip/misc/transactionstatus_forwarding.phtml"
"The transaction status message can be used to trigger follow-up actions like shipping. To forward this status message to other systems you can define an URL here that will receive the forwarded transaction message.","Der Transaktionsstatus ist notwendig um evtl. nachfolgende Aktionen wie Warenversand oder ähnliches auszulösen. Um diesen Status auch an weitere Systeme zu übermitteln können Sie an dieser Stelle für jeden Status eine URL definieren an die dann dieser Status weitergeleitet werden kann."
"Please make sure that cron jobs are configured and working correctly in order to use this feature.","Stellen Sie weiterhin sicher, dass die Cronjobs für ihr System korrekt eingerichtet sind.",
"Forwarding","Weiterleitung"
"Appointed","Erfolg"
"Capture","Einzug"
"Paid","Zahlung"
"Underpaid","Unterzahlung"
"Cancelation","Rückbelastung"
"Refund","Rückerstattung"
"Debit","Forderung"
"Reminder","Mahnstatus"
"Vauthorization","Buchung"
"Vsettlement","Abrechnung"
"Transfer","Umbuchung"
"Invoice","Rechnungsbeleg"
"The URL of the receiving system.","Die URL des Empfängersystems."
"Time out","Timeout"
"How long should Magento wait for the other system to receive the status.","Wie lange soll der Onlineshop auf Antwort des Empfängersystems warten."


"TEMPLATE","/app/design/adminhtml/default/default/template/payone/core/system/config/tooltip/misc/transactionstatus_processing.phtml"
"Here you can configure the time intervals in which the transaction messages from the PAYONE Platform will be processed.","Hier können Sie eintragen in welchem zeitlichen Intervall der Transaktionstatus von der PAYONE Plattform verarbeitet wird."
"Please make sure that cron jobs are configured and working correctly in order to use this feature.","Stellen Sie weiterhin sicher, dass die Cronjobs für ihr System korrekt eingerichtet sind.",
"Define the time interval for processing here.","Tragen Sie hier den Wert für das Intervall der Verarbeitung ein."
"An explanation of this expression can be found here: <a href=""http://en.wikipedia.org/wiki/Cron#CRON_expression"" target=""_blank"">Cron Expression</a>","Hier finden Sie die Beschreibung des Wertes: <a href=""http://en.wikipedia.org/wiki/Cron#CRON_expression"" target=""_blank"">Cron Expression</a>"
"Valid PAYONE IPs","Gültige PAYONE IPs"
"Define the IPs that are allowed to trigger transaction status processing here. You can use * as a wild card.","Tragen Sie hier IP-Addressen ein, welche eine Weiterverarbeitung des Transaktionstatus initiieren dürfen. Als Wildcard können Sie * verwenden.",
"Full IP (127.0.0.1)","Konkrete IP (127.0.0.1)"
"IPs with wild card (127.0.0.* , 127.0.*.*)","IPs mit Wildcard (127.0.0.* , 127.0.*.*)"


"TEMPLATE","/app/design/adminhtml/default/default/template/payone/core/system/config/tooltip/payment/creditcard.phtml"
"Credit Card brand","Kartentyp"
"A multiple choice list of all supported credit card brands.","Eine Auswahlliste aller unterstützten Kreditkartentypen. Eine Mehrfachauswahl ist möglich."
"The following credit card brands are available:","Folgende Kartentypen sind möglich:"
"Check CVC","Prüfe Kartennummer"
"Here you can define whether the CVC should be checked during the checkout process.","Hier können Sie definieren ob während des Checkout Prozesses die Kartenprüfziffer abgefragt werden soll."
"<b>Warning:</b> This option can only be used if your acquirer allows it.","Achtung:</b>Diese Option ist nur verwendbar wenn dies Ihr Acquirer erlaubt."


"TEMPLATE","/app/design/adminhtml/default/default/template/payone/core/system/config/tooltip/payment/debit_payment.phtml"
"Check bank account data","Prüfe Bankverbindung"
"Here you can configure whether an additional check of the bank account data should be performed. Additionally, you can check the bank account data against the point-of-sale blacklist. This blacklist contains bank accounts with outstanding debts from retailers and information from the credit agency KUNO (https://www.kuno-sperrdienst.de).","Hier können Sie definieren ob eine zusätzliche Prüfung der Bankverbindungsdaten vorgenommen werden soll. Ebenfalls besteht die Möglichkeit, dass Sie die Kontoverbindung mit einer POS-Sperrliste abgleichen können. Diese enthält Kontoverbindungsdaten mit offene Forderungen aus dem stationären Einzelhandel und Daten aus der Auskunftei KUNO (https://www.kuno-sperrdienst.de)."
"Check against POS blacklist","Prüfung gegen POS-Sperrliste"


"TEMPLATE","/app/design/adminhtml/default/default/template/payone/core/system/config/tooltip/payment/financing.phtml"
"Financing","Finanzierungssart"
"Here you can define which financing methods you want to make available during checkout","Hier können Sie definieren welche Finanzierungsarten sie im Checkout anbieten wollen."
"Currently these financing methods are available","Folge Arten werden aktuell unterstützt"


"TEMPLATE","/app/design/adminhtml/default/default/template/payone/core/system/config/tooltip/payment/method.phtml"
"Activated","Aktiviert"
"This payment method is activated / deactivated","Hier aktivieren / deaktivieren Sie die Zahlungsmethode."
"Order","Reihenfolge"
"Define an integer to order the payment methods during checkout.","Hier definieren Sie per Ganzzahl die Position in der diese Zahlmethode im Checkout dargestellt wird."
"Define a name for this payment method. This name will be displayed during checkout.","Hier können Sie den Namen der Zahlmethode definieren. Dieser Name wird auch im Checkout dargestellt."
"Processing fee","Bearbeitungsgebühr"
"Here you can define handling fees for this payment method on a per-country basis.","Hier können Sie länderabhängig Gebühren für diese Zahlmethode definieren."
"Minimal cart value","Mindestwert für die Gesamtbestellung"
"Define a minimal cart value for this payment method. Is the cart value below this, this payment method will not be displayed.","Hier können Sie konfigurieren wie hoch der Wert der Gesamtbestellung mindestens sein muss, damit diese Zahlungsmethode im Checkout angeboten wird."
"Maximal cart value","Höchstwert für die Gesamtbestellung"
"Define a maximal cart value for this payment method. Is the cart value above this, this payment method will not be displayed.","Hier können Sie konfigurieren wie hoch der Wert der Gesamtbestellung sein darf, damit diese Zahlungsmethode im Checkout angeboten wird."
"Mode","Betriebsmodus"
"Define in which mode requests will be sent to the PAYONE Platform.","Hier legen Sie fest in welchem Betriebsmodus die Anfrage an die PAYONE Plattform gestellt wird."
"Use global settings","Nutze Globale Einstellungen"
"Here you can configure whether the global settings should be used for this payment method.","Hier können Sie einstellen ob für die Zahlungsmethode die Globalen Einstellungen genutzt werden sollen."
"If 'Use global settings' is no:","Bei Auswahl von 'Nutze Globale Einstellungen' Nein"
"Payment from allowed countries","Zahlung aus erlaubten Ländern"
"Define the countries to which this settings should apply. This setting follows the Magento country standard.","Definieren Sie die Länder, in denen diese Einstellungen gelten. Die Einstellung folgt dem Magento Länderauswahlstandard.",
"The merchant ID you received from PAYONE.","Die Kundennummer, die Sie für Ihren Account bei PAYONE erhalten haben.",
"The ID number of the payment portal for processing of the all transactions of your shop.","Die Identifikationsnummer des Zahlungsportals über das alle Transaktionen für Ihren Shop abgewickelt werden sollen."
"The ID number of the Sub-Account through which all your payments are going to be processed.","Die Identifikationsnnummer der Abrechnungseinheit die Sie im PMI erstellt haben."
"Security Key","Sicherheitsschlüssel (Key)"
"The key that you defined in the PMI to encrypt the queries sent to the PAYONE Platform.","Tragen Sie hier den von Ihnen definierten PMI-Sicherheitsschlüssel ein, um eine gesicherte Kommunikation zu gewährleisten.",
"Authorization method","Autorisierungsmethode"
"Chose here which method to apply for your payments. Note: For the online transfer methods giropay, SOFORT Banking, eps, PostFinance and iDEAL the payment is carried out fully and completely even if you have selected ""Pre-authorisation"". Despite this, you would still have to post the receivable via a separate capture, in this case.","Hier können Sie einstellen welches Verfahren Sie für Ihre Transaktion verwenden wollen.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pre-authorization","Vorautorisierung"
"When selecting ""Pre-authorisation"" the amount to be paid is reserved during the ordering process. In this case, the actual capture of the amount must be initiated in a second step upon delivery of the goods. The receivable will only be posted after the amount has been captured.","Dieses Verfahren versucht zunächst eine Reservierung des Betrages auf dem ausgewählten Zahlungsmittel. Zu einen späteren Zeitpunkt wird per Capture das Geld vom Zahlungsmittel abgebucht. Dieses Verfahren ist zu empfehlen, wenn Sie Versender von materiellen Gütern sind. Erst zum Zeitpunkt des Warenversandes wird dann der Geldeinzug vorgenommen."
"Authorization","Autorisierung"
"When selecting ""Authorisation"" the amount to be paid is debited directly in the course of the ordering process. The receivable is posted immediately.","Dieses Verfahren zieht das Geld sofort vom ausgewählten Zahlungsmittel ein. Diese Methode empfiehlt sich für alle imateriellen Güter oder Content."


"TEMPLATE","/app/design/adminhtml/default/default/template/payone/core/system/config/tooltip/payment/online_bank_transfer.phtml"
"Type of online bank transfer","Überweisungsart"
"You can define here which types of online bank transfer are available during checkout.","Hier können Sie definieren welche Onlineüberweisungsarten sie im Checkout anbieten wollen."
"The following providers are currently supported","Folge Arten werden aktuell unterstützt"


"TEMPLATE","/app/design/adminhtml/default/default/template/payone/core/system/config/tooltip/payment/safe_invoice.phtml"
"Safe invoice","Sichere Rechnungsart"
"Here you can configure which types of safe invoice payment are available during checkout.","Hier können Sie definieren welche Rechnungsarten sie im Checkout anbieten wollen."
"The following providers are currently supported","Folge Arten werden aktuell unterstützt"


"TEMPLATE","/app/design/adminhtml/default/default/template/payone/core/system/config/tooltip/payment/wallet.phtml"
"Wallet","Walletart"
"Here you can configure which types of online wallets are available during checkout.","Hier können Sie definieren welche Walletarten Sie im Checkout anbieten wollen."
"Currently, only PayPal Express is supported.","Aktuell steht hier nur die Walletart PayPal Express zur Verfügung.",


"TEMPLATE","/app/design/adminhtml/default/default/template/payone/core/system/config/tooltip/protect/addresscheck.phtml"
"Here you can activate address validation with the following configuration options.","Hier aktivieren Sie die Prüfung der Adresse mit allen folgenden Konfigurationsmöglichkeiten."
"Check billing address","Prüfe Rechnungsadresse"
"Here you can configure how the billing address is validated.","Hier können Sie konfigurieren wie die Prüfung der Rechnungsadresse durchgeführt wird."
"none","kein"
"Check if the address is existent, has a typo or is otherwise slightly malformed. This is possible for addresses from Germany, Austria, Switzerland, The Netherlands, Belgium, Luxemburg, France, Italy, Spain, Portugal, Denmark, Sweden, Finland, Norway, Poland, Slovakia, Czech Republic, Hungary, The United States, and Canada.","Prüfung der Adresse auf Existenz sowie Ergänzung und Korrektur der Adresse (Möglich für Adressen aus Deutschland, Österreich, Schweiz, Niederlande, Belgien, Luxemburg, Frankreich, Italien, Spanien, Portugal, Dänemark, Schweden, Finnland, Norwegen, Polen, Slowakei, Tschechien, Ungarn, USA, Kanada)"
"Check if the given person is known at the given address, check if the address is existent, has a typo or is otherwise slightly malformed. This is only available for German addresses.","Prüfung ob die Person unter der angegebenen Adresse bekannt ist, Prüfung der Adresse auf Existenz sowie Ergänzung und Korrektur der Adresse (nur Deutschland)",
"Check shipping address","Prüfe Lieferadresse"
"Here you can configure how the shipping address is validated.","Hier können Sie konfigurieren wie die Prüfung der Lieferadresse durchgeführt wird."
"Define in which mode requests will be sent to the PAYONE Platform.","Hier legen Sie fest in welchem Betriebsmodus die Anfrage an die PAYONE Plattform gestellt wird."
"Minimal cart value","Mindestwert für Gesamtbestellung"
"Define a minimal cart value for address checks. Is the cart value below this, the address check will not be executed.","Der hier zu konfigurierende Wert ist der Wert ab dem eine Adressprüfung durchgeführt wird. Ist der Gesamtwarenkorbwert unterhalb dieses Wertes wird keine Adressprüfung ausgeführt.",
